,Show_Number,Air_Date,Round,Category,Value,Question,Answer
4888,3331,2/15/99,Double Jeopardy!,OFF WITH THEIR HEADS!,$200 ,The first wife of Henry VIII to get the axe,Anne Boleyn
185868,6285,1/6/12,Double Jeopardy!,GAME DESCRIPTIONS,$400 ,Send a one-hopper home to get the guy who tagged up; shoot it around the horn,baseball
214845,4222,12/31/02,Jeopardy!,THE 7 WONDERS,$200 ,We sort of know what the Statue of Zeus looked like because it was reproduced on these of the realm,coins
32214,5568,11/19/08,Double Jeopardy!,THE HILLS,"$1,600 ","The Sand Hills Region is mostly in this state, north of the Platte River",Nebraska
177959,607,4/7/87,Double Jeopardy!,CONDUCTORS,$600 ,"The <a href=""http://www.j-archive.com/media/1987-04-07_DJ_28.mp3"">following</a> was early '60s pop hit for this 3-time Oscar winner, now a renowned conductor:",AndrÌ© Previn
115357,4855,10/21/05,Double Jeopardy!,SPORTS U.S.A.,"$1,200 ","(<a href=""http://www.j-archive.com/media/2005-10-21_DJ_28.jpg"" target=""_blank"">Jon of the Clue Crew sports Boston ball club paraphernalia.</a>)  I'm a proud citizen of this, a phrase popularized and used in a book subtitle by sportswriter Dan Shaughnessy",the Red Sox Nation
84757,1221,12/18/89,Jeopardy!,SIGNS & SYMBOLS,$100 ,"Batman's partner, Robin, has this symbol on his shirt",R
2748,3815,3/16/01,Jeopardy!,CELEBRITY RHYME TIME,$100 ,Aykroyd's blueprints,Dan's plans
69770,5820,12/25/09,Jeopardy!,COCOA CHANNEL,$400 ,Nestle sells a hot cocoa mix featuring mini these to put on top,marshmallows
89690,5390,2/1/08,Double Jeopardy!,MEDICAL SCHOOL,$400 ,This renowned Minnesota institution opened its own med school in 1972,the Mayo Clinic
166313,3330,2/12/99,Double Jeopardy!,VALUES,$200 ,13 loaves or buns,Baker's dozen
120928,5786,11/9/09,Double Jeopardy!,VIDEO GAMES,"$1,200 ","""Hottest Party"" is an installment in the Wii game called this ""Revolution""",Dance Dance
169510,5776,10/26/09,Double Jeopardy!,I THINK I LOVE HUGH,$400 ,"This magazine man, born in 1926, claims to be a direct descendent of Puritan patriarchs John Winthrop & William Bradford",Hugh Hefner
50261,1285,3/16/90,Double Jeopardy!,THEATER,"$1,000 ","The characters in his play ""Hay Fever"" were inspired by actress Laurette Taylor & her family",Noel Coward
36734,2579,11/16/95,Double Jeopardy!,ECONOMICS,$600 ,2-word economic phrase that describes the period of U.S. history from 1929-1939,Great Depression
8684,3682,9/12/00,Jeopardy!,THE HOLLYWOOD STOCK EXCHANGE,$500 ,"At $4,147 a share, this star of ""Firestarter"" is one of the highest-valued actresses listed on HSX",Drew Barrymore
11613,4950,3/3/06,Jeopardy!,CLASSIC SPORTS COMMERCIALS,$400 ,"Yao, Yogi & ""yo"" all played a part in an ad for this credit card company",Visa
48264,3692,9/26/00,Double Jeopardy!,FAMOUS NICKNAMES,$200 ,"""The Lord of San Simeon""",William Randolph Hearst
63408,3123,3/11/98,Double Jeopardy!,KIDDY LIT,$200 ,"In a Grimm tale, grim indeed, she pushed a witch into an oven",Gretel
143743,3341,3/1/99,Double Jeopardy!,SHAKESPEARE IN LOVE,"$1,000 ","The first line of this comedy is ""If music be the food of love, play on""",Twelfth Night
142313,4742,3/29/05,Double Jeopardy!,"""MISSION"" POSSIBLE","$1,600 ","This Southern California city of 90,000 is found in Orange County",Mission Viejo
96012,3917,9/18/01,Jeopardy!,EMOTIONS,$200 ,"(<a href=""http://www.j-archive.com/media/2001-09-18_J_07.jpg"" target=""_blank"">Dr. Joyce Brothers delivers the clue.</a>)  Just because your man flirts with an attractive blonde at a party, don't give in to this emotion--he's probably just circulating",jealousy
53666,5138,1/3/07,Double Jeopardy!,R.C.,"$4,000 ",This Texan was LBJ's Attorney General from 1967 to 1969,Ramsey Clark
104291,5325,11/2/07,Double Jeopardy!,_____ AND _____ MOVIES,"$1,600 ","The czar-studded cast of this 1971 epic includes Tom Baker (of ""Doctor Who"" fame) as Rasputin",Nicholas & Alexandra
154072,3337,2/23/99,Double Jeopardy!,EVEN YOUNGER THAN YOU,"$1,000 ","His first published work, a sonata for keyboard, appeared in Paris around the time of his eighth birthday",Wolfgang A. Mozart
11644,4950,3/3/06,Double Jeopardy!,NATURAL BORN KILTERS,$800 ,"Kirriemuir, Scotland must have seemed like Neverland to this author born there in 1860",(James) Barrie
83711,3270,11/20/98,Double Jeopardy!,FILMS OF THE 1980s,$600 ,"In a 1985 spy movie, Timothy Hutton was ""The Falcon"" & Sean Penn was this cohort",the Snowman
97757,5407,2/26/08,Double Jeopardy!,OLD MAJOR,"$1,600 ","Princeton's website says ""For all intents and purposes"" it became (temp.) this kind of college in 1918",military
145950,5388,1/30/08,Final Jeopardy!,NOTABLE WOMEN,,"Denied a college education in her own country, in 1903 she became the first woman in France to earn her doctorate",Marie Curie
1238,1302,4/10/90,Double Jeopardy!,AUTHORS,$800 ,"An eye ailment contracted at Eton School ended his plans to study biology, like his brother Julian",Aldous Huxley
187892,3849,5/3/01,Jeopardy!,ZOOLOGY,$300 ,The basket type of this undersea animal seen here probably isn't the kind you have in your bathtub,sponge
162999,5532,9/30/08,Double Jeopardy!,MEDICINE & HISTORY,"$1,200 ","In 1996 Michael DeBakey advised this Russian to have a bypass, prolonging his presidency & life",Yeltsin
212472,3369,4/8/99,Jeopardy!,REGIS PHILBIN'S NY,$500 ,"This man hit a harmless single here (Yankee Stadium) on May 15, 1941 & he wasn't held hitless in a game until July 17",Joe DiMaggio
118638,5040,7/7/06,Jeopardy!,MUHAMMAD ALI'S GREATEST HITS,"$1,000 ",This man whose son played LB for the 49ers broke Ali's jaw in the 12th round (or possibly the first) of their '73 fight,Ken Norton
131949,3841,4/23/01,Double Jeopardy!,CINEMATIC TITLE PAIRS,$800 ,"1985: ""....and the Snowman""",The Falcon
215102,6036,12/6/10,Jeopardy!,RACCOONS,$800 ,"A small type of raccoon with a light coat is found only on Cozumel, an island off this peninsula",the YucatÌÁn peninsula
40955,4829,9/15/05,Double Jeopardy!,DICKENS HEARS FROM HOLLYWOOD,$800 ,"More orphans?! & this book's start, ""My father's family name being Pirrip""... not exactly ""Call me Ishmael"", Chuck!",Great Expectations
76367,6211,9/26/11,Double Jeopardy!,NOTIONS,$400 ,"Collectors of these proverbially ""cute"" items from the notions counter should get a copy of ""The Big Book of"" them",buttons
139974,5615,1/23/09,Jeopardy!,PRODUCTS,$800 ,This product originated in work on plastic gunsights; it first wasn't practical because it stuck to everything,superglue or Krazy Glue
12164,2778,10/2/96,Double Jeopardy!,GOVERNMENT & POLITICS,$400 ,"Postage stamps are printed by the Bureau of Engraving & Printing, a division of this cabinet dept.",the Treasury
133607,5413,3/5/08,Double Jeopardy!,AND SIX,"$1,200 ","This conflict began June 5, 1967 & ended shortly thereafter",the Six Days' War
132071,5247,6/5/07,Double Jeopardy!,MYTHOLOGY,"$1,600 ",These heavenly twins were said to have helped the Romans defeat warring Latin tribes at Lake Regillus in 496 B.C.,Castor & Pollux
150206,5417,3/11/08,Double Jeopardy!,STATE THE STATE,$800 ,"2 of the 4 states whose borders meet up at the ""Four Corners"" monument",(2 of) Colorado & New Mexico (or  Arizona & Utah)
50018,5499,7/3/08,Double Jeopardy!,ISLANDS OF THE SOUTH PACIFIC,"$1,600 ",Legend says that the god Maui threw a fishhook into the sea from Samoa & brought up this current island kingdom,Tonga
161690,4678,12/29/04,Jeopardy!,OFFICIAL STATE STUFF,$600 ,"South Carolina's state tree, it's also in the state's nickname",the palmetto
213802,4602,9/14/04,Double Jeopardy!,RHYME TIME,$800 ,"In ""Through the Looking Glass"" he tells Alice his horse has anklets to guard against shark bites",the White Knight
162898,4457,1/13/04,Jeopardy!,A McCATEGORY,$200 ,"New in dictionaries, it's low-paying employment with no hope of advancement",McJob
108405,5160,2/2/07,Jeopardy!,DOORS SONGS IN OTHER WORDS,"$1,000 ","""Make Contact With Moi""","""Touch Me"""
11364,3795,2/16/01,Double Jeopardy!,GOING TO A BETTER PLACE,"$1,000 ","The land of heroes to King Arthur, it was the Island of the Blessed in Celtic myth",Avalon
35998,6297,1/24/12,Jeopardy!,"LET'S TAKE A ""TRIP""","$1,000 ","This adverb sounds like it means clumsily, but it means the opposite in phrases like ""flows"" this way ""from the tongue""",trippingly
207060,3592,3/28/00,Jeopardy!,THE BRONZE AGE,$500 ,"Pulp hero Doc who was ""The Man of Bronze""",Doc Savage
196881,1286,3/19/90,Double Jeopardy!,U.S. LANDMARKS,"$1,000 ",The historic First & Second Banks of the U.S. are one block apart in this city,Philadelphia
15707,3396,5/17/99,Jeopardy!,"CHARMED, I'M SURE",$300 ,"Dr. Leo Buscaglia aside, Miss Manners says a gentleman shouldn't kiss or do this to a lady when first meeting",hug her
9105,4160,10/4/02,Jeopardy!,LITERARY FIRST LINES,"$1,000 ","1973: ""There were 117 psychoanalysts on the Pan Am flight to Vienna and I'd been treated by at least six of them""","""Fear of Flying"""
105470,5493,6/25/08,Jeopardy!,MOVIE TITLE NAMES,"$1,000 ",2008: Rich kid Anton Yelchin acts as a psychiatrist to his peers at his new school,Charlie Bartlett
107379,3468,10/6/99,Double Jeopardy!,WHICH CAME FIRST?,"$1,000 ","Leonardo's ""Mona Lisa"", ""Last Supper"", ""The Adoration of the Magi""","""The Adoration of the Magi"""
137905,2974,7/3/97,Double Jeopardy!,HISTORIC GEOGRAPHY,$800 ,Xerxes built a bridge of boats across it to invade Greece; Leander could have walked,Hellespont
50912,6203,7/27/11,Double Jeopardy!,LAWS,"$1,600 ",Many of us have felt the effects of Parkinson's law: this expands to fill the time allotted for it,work
30032,5111,11/27/06,Jeopardy!,GUINNESS WORLD RECORDS,$800 ,"Appropriate 10 letter nickname of David Smith Sr. shown <a href=""http://www.j-archive.com/media/2006-11-27_J_20.jpg"" target=""_blank"">here</a>.  He has travelled a record 185 ft., 10 in.",the Human Cannonball
99104,5027,6/20/06,Double Jeopardy!,CHEMISTRY,$400 ,"1,6-diaminohexane & hexanedioic acid mix to make this polymer popular in stockings",nylon
107313,3354,3/18/99,Double Jeopardy!,EAT A GREEN THING,$800 ,"The name of this herb that is used mainly as a decoration on meat dishes comes from the Greek for ""rock celery""",Parsley
203444,4800,6/17/05,Jeopardy!,PACKAGING,$600 ,Whitman's was the 1st company to put a guide on the inside lid of this type of package to which Mr. Gump compared life,(a box of) chocolates
127221,5732,7/7/09,Jeopardy!,BACK TO BUSINESS,$800 ,No-contract & pay as you go plans are selling points of this cell phone company started by Sir Richard Branson,Virgin Mobile
83998,6212,9/27/11,Double Jeopardy!,CELEBRITIES' FAVORITE MOVIES,$400 ,"(<a href=""http://www.j-archive.com/media/2011-09-27_DJ_03.jpg"" target=""_blank"">I'm Michael McKean.</a>) A favorite film of mine is this Hitchcock classic in which a man tells Cary Grant, ""That plane's dustin' crops where there ain't no crops""",North by Northwest
148732,2620,1/12/96,Double Jeopardy!,U.S. HISTORY,$200 ,"Capt. Charles D. Sigsbee was in command of this ship when it blew up February 15, 1898",The Maine
204086,3535,1/7/00,Double Jeopardy!,THE NATIONAL INVENTORS HALL OF FAME,"$1,000 ",He got a lift when installed in 1988 for the brake he invented for a hoisting apparatus,Elisha Otis
50956,6158,5/25/11,Double Jeopardy!,NFL TEAM MASCOTS,$400 ,A Minuteman named Pat,the Patriots
30841,6016,11/8/10,Double Jeopardy!,POP CULTURE,"$1,600 ","""Dear John"" & ""The Last Song"" are among his bestsellers that have been turned into films",Nicholas Sparks
172097,3803,2/28/01,Double Jeopardy!,"""Z""EOGRAPHY",$200 ,In the 1800s this island off the east coast of Africa was an Omani sultanate,Zanzibar
172979,5338,11/21/07,Jeopardy!,STATES & TERRITORIES OF AUSTRALIA,"$1,200 ",The one state named for a man,Tasmania
91836,2629,1/25/96,Jeopardy!,GEORGE BUSH,$300 ,"As U.S. ambassador to this organization in 1971, Bush worked to keep Nationalist China from expulsion",United Nations
117252,6289,1/12/12,Jeopardy!,SPELL IT: -ABLE OR -IBLE?,$800 ,Old Navy uses this adjective for solid-color shorts that are patterned when inside-out,R-E-V-E-R-S-I-B-L-E
95048,5857,2/16/10,Jeopardy!,ALASKA,$200 ,"About half of Alaska's 600,000 residents live within this city's metropolitan area",Anchorage
138237,5480,6/6/08,Jeopardy!,DEPP PERCEPTION,$800 ,"Taking a cue from Lord Byron, Johnny played this title role in 1995",Don Juan
215030,5305,10/5/07,Jeopardy!,TOASTS BY LANGUAGE,$400 ,Na zdorovia,Russian
78898,3032,11/4/97,Jeopardy!,DIRTY 4-LETTER WORDS,$300 ,Army dining hall before or after the meal,mess
160010,4804,6/23/05,Jeopardy!,NOODLE DISHES,$800 ,This Jewish noodle pudding was served as a 2nd main course on the Sabbath to symbolize prosperity,kugel
198113,3321,2/1/99,Jeopardy!,THE QUEEN'S ENGLISH,$500 ,"A chucker-out isn't a polo player, it's this job in a bar",Bouncer
99291,5629,2/12/09,Double Jeopardy!,FROM SCREEN TO STAGE,$800 ,"It was a literary trilogy, then a film trilogy, then--heavens to Gollum!--a musical that opened in Toronto in 2006",The Lord of the Rings
26724,5507,7/15/08,Double Jeopardy!,ALSO KNOWN AS,"$2,000 ","The Mexica, ethnically",the Aztecs
17174,5841,1/25/10,Double Jeopardy!,OSCAR-WINNING SONG LYRICS,"$1,600 ","""When I was just a little girl I asked my mother what will I be""",The Man Who Knew Too Much
115239,5404,2/21/08,Double Jeopardy!,IN THE SPANISH DICTIONARY,"$1,200 ","Under V: Thank God it's Friday, in Spanish, this",viernes
207749,1177,10/17/89,Jeopardy!,WORLD LEADERS,$100 ,She is the first woman to head a British political party,Margaret Thatcher
77985,3466,10/4/99,Jeopardy!,COLLEGES & UNIVERSITIES,$100 ,In April 1999 Harvard announced plans to formally absorb this women's college,Radcliffe
102229,4713,2/16/05,Jeopardy!,INTERNATIONAL ROAD VEHICLE STICKERS,$600 ,NGR,Nigeria
138713,6261,12/5/11,Jeopardy!,"AMMAN, JORDAN",$800 ,"Amman is built on 7 jabals, or these; Jabal el-Qala'a offers especially great views",hills
2129,5981,9/20/10,Double Jeopardy!,MOVIE CITIES,"$1,200 ","2010, starring Kristen Bell: ""When in ____""",Rome
97445,5632,2/17/09,Jeopardy!,COATS OF ARMS,"$1,000 ",Its national coat of arms features Montevideo Hill with a fortress on top symbolizing strength,Uruguay
87856,6227,10/18/11,Double Jeopardy!,CRASHING THE PARTY,"$2,000 ","AKA the States' Rights Democrat Party, this southern splinter group quit whistlin' after Truman beat Dewey",the Dixiecrats
10284,3205,7/3/98,Double Jeopardy!,PLACES IN THE BIBLE,"$1,000 ",A witch who survived Saul's witch hunt lived in this Canaanite city,Endor
156879,5809,12/10/09,Double Jeopardy!,ORGANIZATIONS,"$2,000 ",This society for conservative & libertarian lawyers has the name of an early U.S. political party,the Federalist Society
49998,5499,7/3/08,Double Jeopardy!,THE AMERICAN REVOLUTION,$400 ,"On April 18, 1775 Paul Revere only made it to Lexington on his warning ride; Pamuel Prescott got to this citv",Concord
13199,3804,3/1/01,Jeopardy!,WORD TO THE CHEF,$200 ,"To make small squares of food is to dice; to make them a little larger is to do this, the shape of dice",Cube
1739,4699,1/27/05,Jeopardy!,FIRST NAME'S THE SAME,$400 ,"Bakula, Wolf",Scott
187099,5333,11/14/07,Double Jeopardy!,POTPOURRI,"$1,600 ","On an alphabetical list of U.S. states, this 43rd state comes immediately after the 50th state",Idaho
24610,5055,7/28/06,Double Jeopardy!,THE CHAMBER,$800 ,"Kiva, a ceremonial chamber, comes from the language of these westernmost Pueblo Indians, aka the Moki",the Hopi
9788,6088,2/16/11,Double Jeopardy!,FAMILIAR SAYINGS,$800 ,Even a broken one of these on your wall is right twice a day,clock
170344,6133,4/20/11,Double Jeopardy!,BERNINI,$400 ,"(<a href=""http://www.j-archive.com/media/2011-04-20_DJ_09.jpg"" target=""_blank"">Sarah of the Clue Crew shows us a geometric diagram</a>) Bernini said his plan of a large oval connected to a trapezoidal space for the piazza of this building was meant to evoke the <a href=""http://www.j-archive.com/media/2011-04-20_DJ_09a.jpg"" target=""_blank"">arms</a> of the Church embracing its faithful",St. Peter's Basilica
67921,4719,2/24/05,Jeopardy!,ISLAND HOPPING,"$1,000 ",The highest point in this Persian Gulf island nation is 443-foot-high Jabal ad Dukhan,Bahrain
83154,5170,2/16/07,Jeopardy!,"DOUBLE ""T""s",$400 ,"Pucker up with the Sour ones of these, seen <a href=""http://www.j-archive.com/media/2007-02-16_J_17.jpg"" target=""_blank"">here</a>",Skittles
198081,3931,10/8/01,Double Jeopardy!,MARSHALL MATTERS,"$1,000 ","He was the man with a 1947 ""Plan"" that helped rebuild Europe",George Marshall
178404,5133,12/27/06,Jeopardy!,ARCHAEOLOGY,$800 ,"The 1930s find of huge stone heads brought to light this Mesoamerican people, not to be confused with the Toltecs",the Olmecs
181775,2015,5/14/93,Double Jeopardy!,ROCKS & MINERALS,$600 ,"To identify a meteorite, Peterson's guide says to look for iron & this metal",nickel
14786,4628,10/20/04,Double Jeopardy!,CREATURE CULTURE,"$2,000 ","There are 3 classes of annelids: bristleworms, earthworms & these bloodsuckers",leeches
96663,3694,9/28/00,Double Jeopardy!,"KISS, THE BAND","$1,000 ",Training as an artist helped this Kiss lead guitarist design the Kiss logo,Ace Frehley
125446,3899,7/12/01,Double Jeopardy!,ARCHAEOLOGY,$200 ,3-letter term for an archaeological work site; it's also a magazine trying to turn preteens on to archaeology,a dig
114577,533,12/24/86,Double Jeopardy!,PLAYWRIGHTS,"$1,000 ","Lord Snowdon never studied at ""The School for Scandal"", but this ancestor of his wrote it",Richard Sheridan
211774,5871,3/8/10,Double Jeopardy!,A MAN FOR ALL SEASONS,"$1,200 ",In 1605 Thomas Winter was caught up in a plot to blow up Parliament with this more famous guy,Guy Fawkes
215617,4250,2/7/03,Jeopardy!,THE NHL,$400 ,"The holy grail of the NHL, it's named for a governor-general of Canada",Stanley Cup
161258,3507,11/30/99,Jeopardy!,BARCELONA,$100 ,"On Sundays, in front of the Gothic Cathedral, people perform the Sardana, one of these",Dance
8657,6231,10/24/11,Final Jeopardy!,U.S. CITIES,,"Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital","Phoenix, Arizona"
24588,5055,7/28/06,Jeopardy!,THAT'S POLITICS,$600 ,In 1996 Sam Brownback was elected to complete the term of this Kansas senator who ran for president,Dole
134235,4737,3/22/05,Jeopardy!,WE WERE SOLDIERS,$600 ,This 5-star general was the first chairman of the Joint Chiefs of Staff 1949-1953,Bradley
210073,5373,1/9/08,Jeopardy!,SITCOM SIBLINGS,$200 ,"Jodie Sweetin, Candace Cameron, Mary-Kate & Ashley Olsen",Full House
180689,3614,4/27/00,Double Jeopardy!,CORPORATE AMERICA,$800 ,The Canadian arm of this Pennsylvania corporation makes Eat-More Candy,Hershey's
158822,4674,12/23/04,Jeopardy!,STUPID ANSWERS,$800 ,"One side of Willemstad, Curacao is called Punda & the other side is Otrabanda, which means this",other side
39989,3812,3/13/01,Jeopardy!,U.S. BODIES OF WATER,$200 ,"When Midshipmen from Annapolis sit on the dock of the bay, it's usually this one that divides Maryland in two",Chesapeake Bay
126181,4363,7/16/03,Double Jeopardy!,FROM WHAT LANGUAGE?,"$2,000 ",Om,Sanskrit
118229,4841,10/3/05,Double Jeopardy!,"NOBEL LIT WINNERS, INITIALLY YOURS",$400 ,"1958: B.P., Russia",Boris Pasternak
66064,4909,1/5/06,Double Jeopardy!,SCIENCE NEWS,"$1,600 ",In 2000 Rezulin followed Trovan & Druact as drugs withdrawn from sale for damaging this organ,the liver
208263,5710,6/5/09,Double Jeopardy!,I REMEMBER TELEVISION,$800 ,I remember Bob Crane outwitting Werner Klemperer on this show every week from 1965 to 1971,Hogan's Heroes
200979,6051,12/27/10,Jeopardy!,ELVIS,$600 ,"Affer his army discharge in 1960, Elvis appeared on this crooner's TV special along with the crooner's daughter Nancy",Frank Sinatra
72303,1162,9/26/89,Double Jeopardy!,BLACK AMERICA,"$1,000 ","In 1977 PBS's ""Black Journal"" was renamed for him, its executive producer & host",Tony Brown
5140,4842,10/4/05,Double Jeopardy!,TAKE-OFFS,"$4,000 ",Rafreaky the baboon & a 30-year-old Annie have appeared in this NYC theater spoof that debuted in 1982,Forbidden Broadway
67611,2980,7/11/97,Double Jeopardy!,AMERICAN LITERATURE,"$2,000 ",The title of this Ralph Ellison novel refers to its nameless narrator & protagonist,"""The Invisible Man"""
185969,5021,6/12/06,Jeopardy!,BRAND NEW,$400 ,"The <a href=""http://www.j-archive.com/media/2006-06-12_J_13.jpg"" target=""_blank"">Flatout! container</a>'s accordion design by this company can change its capacity & flatten for storage",Tupperware
64745,2541,9/25/95,Double Jeopardy!,HISTORY,"$1,000 ",in July 1945 this former French chief of state went on trial for treason,(Marshal) PÌ©tain
79517,4549,5/20/04,Double Jeopardy!,PLACES TO GO,$800 ,"If sport fishing is your thing, head to Islamorada in these Florida islands",the Keys
105109,6031,11/29/10,Jeopardy!,COUNTRY NICKNAMES,$800 ,"This is ""India's Teardrop""",Sri Lanka
3866,6239,11/3/11,Double Jeopardy!,19th CENTURY PRESIDENTS,$800 ,"<a href=""http://www.j-archive.com/media/2011-11-03_DJ_14.jpg"" target=""_blank"">This</a> U.S. president was named for his great-grandfather, a signer of the Declaration of Independence",Benjamin Harrison
144638,500,11/7/86,Jeopardy!,DAYS IN SONG,$100 ,"According to the Mamas & The Papas, you ""can't trust that day""",Monday
40925,4829,9/15/05,Jeopardy!,MARSUPIALS,$400 ,"You can see why kangaroos are classified as macropodents, referring to the size of <a href=""http://www.j-archive.com/media/2005-09-15_J_30.jpg"" target=""_blank"">these</a>",their feet
39220,4921,1/23/06,Jeopardy!,FILMOGRAPHIES,$800 ,"""Dark Victory"", ""Of Human Bondage"", ""The Petrified Forest""",Bette Davis
182435,3703,10/11/00,Double Jeopardy!,AFRICAN-AMERICAN LIT,$800 ,"A mother of five is the heroine of ""Mama"" by this author who helped Stella get her groove back",Terry McMillan
124488,2346,11/14/94,Jeopardy!,DECORATIVE ARTS,$300 ,"""The Hunt of the Unicorn"" is a famous example of the mille-fleur type of this wall hanging",Tapestry
37837,2961,6/16/97,Final Jeopardy!,COUNTRIES OF THE WORLD,,"Before its independence, this country was known as the Netherlands East Indies",Indonesia
213988,5569,11/20/08,Double Jeopardy!,WHEEL OF JEOPARDY!,"$1,200 ","A <a href=""http://www.j-archive.com/media/2008-11-20_DJ_23.jpg"" target=""_blank"">place</a> to hoard your pennies",a piggy bank
125180,2781,10/7/96,Jeopardy!,INTERNATIONAL MAIL,$100 ,"In Luxembourg they're only 4 digits long; in Brazil, 8",a ZIP code
210740,3786,2/5/01,Jeopardy!,CITIZENSHIP TEST,$400 ,"In 1800 the national government of the United States moved from this city to Washington, D.C.",Philadelphia
163423,4538,5/5/04,Double Jeopardy!,U.S. GOVERNMENT,"$1,600 ",In 1917 the people of this U.S. commonwealth in the Caribbean became naturalized citizens,Puerto Rico
153382,3262,11/10/98,Jeopardy!,RHYMES WITH COD,$500 ,"Perhaps from obsolete Dutch for ""shred"", it's a young cod or haddock",Scrod
164010,2996,9/15/97,Double Jeopardy!,WORLD GEOGRAPHY,"$1,000 ","The westernmost of Canada's prairie provinces, it's bordered on the west by British Columbia",Alberta
177129,3612,4/25/00,Jeopardy!,THE BARBARY WARS,$100 ,This sea was home base for all those Barbary pirates,Mediterranean Sea
35985,6297,1/24/12,Jeopardy!,MUSIC ALPHABET,$600 ,"""D"" is for decrescendo, which means this is happening to the music",it's getting quieter (or softer)
153211,3306,1/11/99,Double Jeopardy!,U.S. STAMPS,$400 ,"Different types of these on stamps of the 1990s include lunch, circus & Conestoga",Wagons
52378,3973,12/5/01,Jeopardy!,SLOW NEWS DAY,$400 ,"(Sarah)  If you see Pete, this breed of dog lost last Sunday, remember, he's got a lot of ""fight"" in him",boxer
190400,5113,11/29/06,Jeopardy!,AIRPORT CODES,"$1,000 ",It's named for Sen. Ted Stevens: ANC,Anchorage
121651,1266,2/19/90,Double Jeopardy!,OPERA,$400 ,"Operas based on this Norwegian's plays include ""The Feast at Solhaug"" & ""Peer Gynt""",Henrik Ibsen
84382,4564,6/10/04,Double Jeopardy!,THE MIND,"$1,200 ","In a famous 1848 case, Phineas Gage's personality was altered by damage done to his left frontal one",lobe
196662,4601,9/13/04,Jeopardy!,"YOU'RE ""GOLDEN"", BABY",$600 ,It's the second-most registered dog breed at the American Kennel Club,a golden retriever
131765,6086,2/14/11,Jeopardy!,BEATLES PEOPLE,$600 ,"""Bang bang"" his ""silver hammer came down upon her head""",Maxwell's silver hammer
144334,3076,1/5/98,Jeopardy!,"""NEW"" GEOGRAPHY",$100 ,This U.S. city was formerly known as New Amsterdam,New York City
127690,5450,4/25/08,Jeopardy!,YELLOW THERE!,$400 ,"As a human guinea pig, Jesse Lazear helped Walter Reed prove this was spread by mosquitoes",yellow fever
183365,6050,12/24/10,Jeopardy!,CHRISTIANITY,"$1,000 ","Born the son of slaves in 1760, Richard Allen became the first bishop & leader of this church, the AME, in 1816",African Methodist Episcopal church
52299,3478,10/20/99,Double Jeopardy!,TOUGH GEOGRAPHY,$800 ,"The Little Minch, a Scottish strait, separates this group's ""Inner"" & ""Outer"" islands",The Hebrides
34396,3089,1/22/98,Double Jeopardy!,SOUP DU JOUR,$600 ,"Wednesday's treat is this chilled tomato soup, which Andalusians flavor with onions & garlic",Gazpacho
22000,2126,11/29/93,Double Jeopardy!,THE CIVIL WAR,$800 ,"Nicknamed ""Fighting Joe"", he replaced Ambrose Burnside as commander of the Army of the Potomac in 1863",Hooker
171962,3701,10/9/00,Jeopardy!,WHAT'S THE GOOD WORDSWORTH?,"$1,000 ","An 1820 ode on this king's death included ""Dread shadow of a king!  Whose realm had dwindled to one stately room""",George III
198058,3931,10/8/01,Double Jeopardy!,THE REAL SLIM PICKENS,$200 ,Slim Pickens was the B-52 captain who saddled up a hydrogen bomb in this 1964 Kubrick classic,Dr. Strangelove
31949,2894,3/13/97,Jeopardy!,FINANCE,$200 ,This term for a top quality stock comes from the gambling world,Blue chip
114650,3637,5/30/00,Jeopardy!,FAMOUS PAINTINGS,$200 ,"Portraitist Gilbert Stuart produced over 1,100 paintings, 104 of which were likenesses of this man",George Washington
